Round,Player A,Player B,Winner,Participant A score,Participant B score
R128,C. Alcaraz [1],bye,C. Alcaraz [1],,
R128,F. Marozsan,J. Fonseca,J. Fonseca,1,2
R128,G. Mpetshi Perricard,C. Ugo Carabelli,C. Ugo Carabelli,1,2
R128,bye,S. Korda [32],S. Korda [32],,
R128,L. Darderi [17],bye,L. Darderi [17],,
R128,M. Giron,M. Landaluce [Q],M. Landaluce [Q],0,2
R128,J. Duckworth,R. Bautista Agut,R. Bautista Agut,0,2
R128,bye,K. Khachanov [14],K. Khachanov [14],,
R128,C. Ruud [11],bye,C. Ruud [11],,
R128,E. Quinn,H. Hurkacz,E. Quinn,2,0
R128,M. Kouame [WC],Z. Svajda [Q],M. Kouame [WC],2,1
R128,bye,J. Lehecka [21],J. Lehecka [21],,
R128,J. Draper [25],bye,J. Draper [25],,
R128,R. Opelka,N. Borges,R. Opelka,2,1
R128,D. Shapovalov,B. van de Zandschulp,B. van de Zandschulp,0,2
R128,bye,T. Fritz [6],T. Fritz [6],,
R128,A. Vukic [LL],bye,A. Vukic [LL],,
R128,R. Jodar [Q],Y. Hanfmann [Q],R. Jodar [Q],2,1
R128,Z. Bergs,J. Brooksby,Z. Bergs,2,0
R128,bye,T. Etcheverry [29],T. Etcheverry [29],,
R128,T. Paul [22],bye,T. Paul [22],,
R128,Zhang Z. [PR],A. Mannarino,A. Mannarino,0,2
R128,R. Collignon,G. Dimitrov,R. Collignon,2,1
R128,bye,F. Cobolli [13],F. Cobolli [13],,
R128,A. Bublik [10],bye,A. Bublik [10],,
R128,A. Muller,M. Berrettini,M. Berrettini,0,2
R128,N. Basilashvili [Q],M. Navone,M. Navone,0,2
R128,bye,V. Vacherot [24],V. Vacherot [24],,
R128,A. Fils [28],bye,A. Fils [28],,
R128,D. Blanch [WC],J. Struff,D. Blanch [WC],2,1
R128,S. Tsitsipas,A. Fery [Q],S. Tsitsipas,2,0
R128,bye,A. de Minaur [5],A. de Minaur [5],,
R128,B. Shelton [8],bye,B. Shelton [8],,
R128,M. Arnaldi,A. Shevchenko,,,
R128,G. Diallo,Wu Y. [WC],,,
R128,bye,U. Humbert [31],U. Humbert [31],,
R128,F. Cerundolo [18],bye,F. Cerundolo [18],,
R128,V. Royer,T. Tirante [LL],,,
R128,A. Kovacevic,Sakamoto R. [WC],Sakamoto R. [WC],1,2
R128,bye,D. Medvedev [9],D. Medvedev [9],,
R128,A. Davidovich Fokina [16],bye,A. Davidovich Fokina [16],,
R128,Q. Halys,L. Draxl [Q],Q. Halys,2,1
R128,K. Majchrzak,M. Kecmanovic,K. Majchrzak,2,1
R128,bye,L. Tien [20],L. Tien [20],,
R128,B. Nakashima [27],bye,B. Nakashima [27],,
R128,M. Cilic,A. Popyrin,M. Cilic,2,0
R128,M. Damm [WC],J. Fearnley,M. Damm [WC],1,(rit.) 0
R128,bye,A. Zverev [3],A. Zverev [3],,
R128,F. Auger-Aliassime [7],bye,F. Auger-Aliassime [7],,
R128,C. O'Connell [Q],M. Fucsovics,,,
R128,T. Atmane,D. Altmaier,T. Atmane,2,0
R128,bye,A. Rinderknech [26],A. Rinderknech [26],,
R128,F. Tiafoe [19],bye,F. Tiafoe [19],,
R128,A. Cazaux,T. Barrios Vera [Q],,,
R128,A. Walton [Q],S. Baez,,,
R128,bye,J. Mensik [12],J. Mensik [12],,
R128,A. Rublev [15],bye,A. Rublev [15],,
R128,A. Tabilo,F. Comesana,A. Tabilo,2,0
R128,A. Michelsen,M. Bellucci [Q],A. Michelsen,2,0
R128,bye,C. Norrie [23],C. Norrie [23],,
R128,C. Moutet [30],bye,C. Moutet [30],,
R128,E. Nava,T. Machac,T. Machac,1,2
R128,I. Buse [Q],D. Dzumhur,D. Dzumhur,1,2
R128,bye,J. Sinner [2],J. Sinner [2],,
R64,C. Alcaraz [1],J. Fonseca,,,
R64,C. Ugo Carabelli,S. Korda [32],,,
R64,L. Darderi [17],M. Landaluce [Q],,,
R64,R. Bautista Agut,K. Khachanov [14],,,
R64,C. Ruud [11],E. Quinn,,,
R64,M. Kouame [WC],J. Lehecka [21],,,
R64,J. Draper [25],R. Opelka,,,
R64,B. van de Zandschulp,T. Fritz [6],,,
R64,A. Vukic [LL],R. Jodar [Q],,,
R64,Z. Bergs,T. Etcheverry [29],,,
R64,T. Paul [22],A. Mannarino,,,
R64,R. Collignon,F. Cobolli [13],,,
R64,A. Bublik [10],M. Berrettini,,,
R64,M. Navone,V. Vacherot [24],,,
R64,A. Fils [28],D. Blanch [WC],,,
R64,S. Tsitsipas,A. de Minaur [5],,,
R64,B. Shelton [8],,,,
R64,,U. Humbert [31],,,
R64,F. Cerundolo [18],,,,
R64,Sakamoto R. [WC],D. Medvedev [9],,,
R64,A. Davidovich Fokina [16],Q. Halys,,,
R64,K. Majchrzak,L. Tien [20],,,
R64,B. Nakashima [27],M. Cilic,,,
R64,M. Damm [WC],A. Zverev [3],,,
R64,F. Auger-Aliassime [7],,,,
R64,T. Atmane,A. Rinderknech [26],,,
R64,F. Tiafoe [19],,,,
R64,,J. Mensik [12],,,
R64,A. Rublev [15],A. Tabilo,,,
R64,A. Michelsen,C. Norrie [23],,,
R64,C. Moutet [30],T. Machac,,,
R64,D. Dzumhur,J. Sinner [2],,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R32,,,,,
R16,,,,,
R16,,,,,
R16,,,,,
R16,,,,,
R16,,,,,
R16,,,,,
R16,,,,,
R16,,,,,
QF,,,,,
QF,,,,,
QF,,,,,
QF,,,,,
SF,,,,,
SF,,,,,
F,,,,,
